SST,access_cm2,cams_csm1_0,canesm5_canoe,cesm2,ciesm,cmcc_cm2_sr5,cmcc_esm2,cnrm_cm6_1,cnrm_cm6_1_hr,cnrm_esm2_1,ec_earth3_cc,fgoals_f3_l,fgoals_g3,fio_esm_2_0,hadgem3_gc31_ll,ipsl_cm6a_lr,kiost_esm,mcm_ua_1_0,miroc_es2l,miroc6,nesm3,noresm2_lm,noresm2_mm,ukesm1_0_ll
-4.0,,,,,,,,,,,,,,,,,,,,,,,,
-3.75,,,,,,,,,,,,,,,,,,,,,,,,
-3.5,,,,,,,,,,,,,,,,,,,,,,,,
-3.25,,,,,,,,,,,,,,,,,,,,,,,,
-3.0,,,,,,,,,,,,,,,,,,,,,,,,
-2.75,,,,,,,,,,,,,,,,,,,,,,,,
-2.5,,,,,,,,,,,,,,,,6.081203873553739,,102.27113344787291,,,,,,
-2.25,,1159.5711757473632,,,,,,,,,,,,,342.1015178523116,27.159310571206525,,2327182.326354285,,,,978.3345800217171,795.0876399143048,429.945199092182
-2.0,2534768.9969188822,2550956.572665569,5006366.921498075,2269070.9677412664,839339.4534046778,2729925.710226959,2850458.1883422914,1404230.0267357654,687499.1607528448,1142700.17812531,690230.2152352844,4959050.00227362,10728960.51924376,3084396.090245096,2000224.0294014448,4643303.566033783,4217734.050114766,12080739.211075587,1134847.926712123,1656073.0072184997,4223159.561359619,4588400.32002009,5182855.060250722,2982390.09749653
-1.75,3282068.700145314,7076911.588787051,1902001.440084966,2429278.6088458695,583604.1449548062,1862610.1771223343,1967310.0406857892,3389490.9338021125,3260075.5527720973,3046720.9503650023,1778626.366011308,3569647.203692141,6529212.432082472,1737081.1815845866,1076103.576759762,1444667.437320256,5781418.962893002,886396.326648797,3965888.1816777377,2402868.4264081926,2057567.4026749125,4713926.482383386,5591542.677048233,1188362.269187357
-1.5,1122583.9102065843,3778655.1195488414,1079758.0373947818,1060684.49937311,278671.63428884157,744152.3936045035,786632.3596990623,1072376.9334467559,994927.2020215325,999092.979892812,884524.0238971751,1231119.6382977837,2330756.061863043,774383.6641072622,719723.7325072077,1035633.5445656154,1331399.6801415014,738337.3720176383,751010.7770149861,692158.2600741187,931053.226709411,1799558.597873368,1940173.8786126194,781795.7223453214
-1.25,778953.2022545662,1826036.5290061692,958141.4841230079,725190.7639567979,248708.32026323496,618137.1526178889,630516.0084405722,742822.3956022407,704877.5314022041,679396.2381530539,567527.9972159442,923021.3103259658,1591243.641369238,610910.6463276328,505107.8447626206,732456.4032824102,863349.4163036509,679135.7731202173,553947.3133705159,487806.87146407005,826754.6520079122,1252629.5969640396,1385453.864400479,595800.1112643932
