SST,1985-1990,2019-2023
-4.0,,
-3.75,,
-3.5,,
-3.25,,
-3.0,,
-2.75,,
-2.5,,
-2.25,,
-2.0,20014553.87026564,16249273.787125904
-1.75,2674971.520899137,3896313.5222921073
-1.5,1686411.6988435388,1996568.3133182407
-1.25,1503168.4510496194,1597804.9352881312
-1.0,1446220.9688838522,1487805.9417060653
-0.75,1433185.226810028,1484249.279680427
-0.5,1428382.813396083,1512765.3647154053
-0.25,1459525.513161434,1559686.7379841486
0.0,1593274.2743274437,1678811.1880963722
0.25,1509170.1131916244,1610105.3553215542
0.5,1519433.210967044,1621827.4669007699
0.75,1499332.299525122,1580265.1439981738
1.0,1456325.954710265,1586008.7625097274
1.25,1446965.081559691,1515803.68200624
1.5,1458366.6098757188,1466297.38127474
1.75,1447536.3819845517,1444177.075541989
2.0,1463761.9818649557,1404773.7135528168
2.25,1443008.1381042069,1380007.3055029153
2.5,1453071.2352533143,1365991.1947907687
2.75,1433406.1337673664,1371287.2486689328
3.0,1427269.114145941,1373193.780249572
3.25,1409707.0326718953,1366135.5412843227
3.5,1382556.723283887,1374082.1591321388
3.75,1392674.5866301921,1394018.9358096202
4.0,1391214.7751834393,1373349.3618540207
4.25,1378136.4156397183,1365825.2076826096
4.5,1386523.1928112572,1383063.4770090817
4.75,1400665.5896918508,1384363.970122862
5.0,1425433.1793787347,1391060.9111065865
5.25,1448534.3875508176,1394682.9847645601
5.5,1460347.7355005608,1414641.104698348
5.75,1477811.5471643475,1427393.8099838893
6.0,1503618.4370459053,1441432.0017926693
6.25,1514584.151510914,1437071.4284649768
6.5,1530616.7481835815,1439658.1313008706
6.75,1549828.432252341,1446079.5253255446
7.0,1573839.2149476872,1441611.5218854744
7.25,1575312.209816787,1471178.9133550166
7.5,1561807.8084455994,1494655.109583505
7.75,1547230.6579586533,1467457.403668038
8.0,1528425.2217230531,1472082.155328099
8.25,1522355.4258471066,1468016.226793909
8.5,1518796.8269585106,1475697.708468469
8.75,1509021.818740487,1500016.1916127524
9.0,1512275.7716171874,1542685.7826898734
9.25,1515872.4883628685,1549829.0592400709
9.5,1527238.2707268926,1558254.4121018092
9.75,1526093.1140063868,1562635.8321672122
10.0,1523271.0800661908,1563389.7235936164
10.25,1516501.3212441339,1547517.5391854604
10.5,1526988.8690054417,1541616.7825108846
10.75,1532590.3714289533,1511169.658111191
11.0,1544566.3814461099,1519483.7792510032
11.25,1555956.316250576,1521426.1495076816
11.5,1561190.3314011628,1535500.6811937015
11.75,1567310.71357784,1531010.9422377427
12.0,1575417.4315200646,1526414.4236724218
12.25,1577409.662214703,1512954.6656723977
12.5,1575374.376234942,1527295.1693091393
12.75,1583635.1743245919,1537229.1006182353
13.0,1604184.12926307,1537395.5130345821
13.25,1615078.8110602563,1565359.8308844885
13.5,1641643.3987734052,1576952.591539542
13.75,1652683.1321691805,1589038.6291550635
14.0,1650193.2271171277,1595930.5843356927
14.25,1657963.0259864992,1615775.184062322
14.5,1675734.020727449,1623624.999389871
