isolate_code,study,genus,species,name,group,temperature,r
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,3,0.284190344
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,15,0.322
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,13,0.33
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,2,0.39
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,5,0.436682724
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,7,0.450545667
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,10,0.450545667
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,10,0.494
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,5,0.546
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,7,0.549
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,5,0.591
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,7,0.691
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,10,0.699
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,15,0.725
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,10,0.732
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,13,0.732
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,10,0.747
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,13,0.747
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,15,0.762
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,15,0.79
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,7,0.806
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,5,0.828
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,7,0.829
7,Jacques (1983),Chaetoceros,deflandrei,Chaetoceros deflandrei,diatoms,5,0.876
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,6,0.127
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,6,0.129
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,6,0.151
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,0,0.171
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,2,0.181
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,2,0.208
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,2,0.236
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,4,0.241
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,0,0.243
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,4,0.251
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,0,0.261
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,2,0.268
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,0,0.298
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,4,0.34
8,Fiala & Oriol (1990),Corethron,pennatum,Corethron pennatum,diatoms,4,0.375
9,Fiala & Oriol (1990),Fragilariopsis,cylindrus,Fragilariopsis cylindrus,diatoms,7,0.271
9,Fiala & Oriol (1990),Fragilariopsis,cylindrus,Fragilariopsis cylindrus,diatoms,9,0.276
9,Fiala & Oriol (1990),Fragilariopsis,cylindrus,Fragilariopsis cylindrus,diatoms,0,0.449
9,Fiala & Oriol (1990),Fragilariopsis,cylindrus,Fragilariopsis cylindrus,diatoms,3,0.456
9,Fiala & Oriol (1990),Fragilariopsis,cylindrus,Fragilariopsis cylindrus,diatoms,5,0.501
9,Fiala & Oriol (1990),Fragilariopsis,cylindrus,Fragilariopsis cylindrus,diatoms,7,0.516
9,Fiala & Oriol (1990),Fragilariopsis,cylindrus,Fragilariopsis cylindrus,diatoms,9,0.536
9,Fiala & Oriol (1990),Fragilariopsis,cylindrus,Fragilariopsis cylindrus,diatoms,7,0.551
9,Fiala & Oriol (1990),Fragilariopsis,cylindrus,Fragilariopsis cylindrus,diatoms,9,0.569
9,Fiala & Oriol (1990),Fragilariopsis,cylindrus,Fragilariopsis cylindrus,diatoms,3,0.571
9,Fiala & Oriol (1990),Fragilariopsis,cylindrus,Fragilariopsis cylindrus,diatoms,0,0.649
9,Fiala & Oriol (1990),Fragilariopsis,cylindrus,Fragilariopsis cylindrus,diatoms,3,0.649
9,Fiala & Oriol (1990),Fragilariopsis,cylindrus,Fragilariopsis cylindrus,diatoms,7,0.672
